system:index,elevation,latitude,longitude,.geo
98,19,16.47123873,80.70178126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70178126176984,16.471238734300748]}"
99,18,16.47123873,80.70205076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7020507563551,16.471238734300748]}"
100,17,16.47123873,80.70232025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70232025094032,16.471238734300748]}"
101,16,16.47123873,80.70258975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70258974552559,16.471238734300748]}"
102,15,16.47123873,80.70285924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7028592401108,16.471238734300748]}"
103,17,16.47123873,80.70312873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70312873469601,16.471238734300748]}"
104,18,16.47123873,80.70339823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70339822928128,16.471238734300748]}"
105,19,16.47123873,80.70366772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70366772386649,16.471238734300748]}"
106,20,16.47123873,80.70393722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70393721845176,16.471238734300748]}"
107,18,16.47123873,80.70420671,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70420671303697,16.471238734300748]}"
108,19,16.47123873,80.70447621,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70447620762224,16.471238734300748]}"
109,21,16.47123873,80.7047457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70474570220745,16.471238734300748]}"
110,20,16.47123873,80.7050152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70501519679266,16.471238734300748]}"
111,18,16.47123873,80.70528469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70528469137793,16.471238734300748]}"
112,17,16.47123873,80.70555419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70555418596314,16.471238734300748]}"
113,16,16.47123873,80.70582368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7058236805484,16.471238734300748]}"
114,17,16.47123873,80.70609318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70609317513362,16.471238734300748]}"
115,18,16.47123873,80.70636267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70636266971889,16.471238734300748]}"
116,19,16.47123873,80.70663216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.7066321643041,16.471238734300748]}"
117,18,16.47123873,80.70690166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70690165888931,16.471238734300748]}"
118,19,16.47123873,80.70717115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70717115347458,16.471238734300748]}"
119,20,16.47123873,80.70744065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70744064805979,16.471238734300748]}"
120,21,16.47123873,80.70771014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70771014264506,16.471238734300748]}"
121,19,16.47123873,80.70797964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70797963723027,16.471238734300748]}"
122,18,16.47123873,80.70824913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70824913181553,16.471238734300748]}"
